timestamp_ms,balance,equity
1704153600000,100000.0,100000.0
1706288400000,99993.77,99968.8
1706288400000,99993.77,99970.96
1706288400000,99993.77,99967.7
1706288400000,99993.77,99968.78
1706288400000,99993.77,99925.33
1706288400000,99993.77,99938.35
1706288400000,99993.77,99936.19
1706288400000,99993.77,99934.01
1706288400000,99993.77,99991.6
1706288400000,99993.77,99968.8
1706288400000,99993.77,99968.79
1706288400000,99993.77,99979.65
1706288400000,99993.77,99936.21
1706288400000,99993.77,99965.52
1706288400000,99993.77,99965.53
1706288400000,99993.77,99904.71
1706288400000,99993.77,99919.88
1706288400000,99993.77,99920.97
1706288400000,99993.77,99925.32
1706288400000,99993.77,99869.92
1706288400000,99993.77,99872.05
1706288400000,99993.77,99870.97
1706288400000,99993.77,99862.28
1706288400000,99993.77,99903.56
1706288400000,99993.77,99903.61
1706288400000,99993.77,99903.59
1706288400000,99993.77,99881.87
1706288400000,99993.77,99881.85
1706288400000,99993.77,99892.72
1706288400000,99993.77,99881.85
1706288400000,99993.77,99928.58
1706288400000,99993.77,99925.34
1706288400000,99993.77,99936.2
1706288400000,99993.77,99906.87
1706288400000,99993.77,99911.24
1706288400000,99993.77,99911.22
1706288400000,99993.77,99900.37
1706288400000,99993.77,99944.9
1706288400000,99993.77,99940.58
1706288400000,99993.77,99968.8
1706288400000,99993.77,99936.23
1706288400000,99993.77,99937.33
1706288400000,99993.77,99938.41
1706288400000,99993.77,99947.09
1706288400000,99993.77,99925.38
1706288400000,99993.77,99930.79
1706288400000,99993.77,99930.8
1706288400000,99993.77,99925.37
1706288400000,99993.77,99957.94
1706288400000,99993.77,99936.24
1706288400000,99993.77,99936.23
1706288400000,99993.77,99890.64
1706288400000,99993.77,99903.62
1706288400000,99993.77,99900.36
1706288400000,99993.77,99878.64
1706288400000,99993.77,99916.64
1706288400000,99993.77,99903.63
1706288400000,99993.77,99907.97
1706288400000,99993.77,99917.75
1706288400000,99993.77,99891.68
1706288400000,99993.77,99905.81
1706288400000,99993.77,99899.29
1706288400000,99993.77,99874.31
1706288400000,99993.77,99926.43
1706288400000,99993.77,99912.34
1706288400000,99993.77,99927.54
1706288400000,99993.77,99885.2
1706288400000,99993.77,99905.8
1706288400000,99993.77,99906.9
1706288400000,99993.77,99916.67
1706288400000,99993.77,99874.32
1706288400000,99993.77,99882.97
1706288400000,99993.77,99880.8
1706288400000,99993.77,99874.28
1706288400000,99993.77,99903.6
1706288400000,99993.77,99888.42
1706288400000,99993.77,99886.24
1706288400000,99993.77,99877.56
1706288400000,99993.77,99899.27
1706288400000,99993.77,99899.28
1706288400000,99993.77,99896.03
1706288400000,99993.77,99945.98
1706288400000,99993.77,99942.74
1706288400000,99993.77,99961.2
1706288400000,99993.77,99927.56
1706288400000,99993.77,99932.97
1706288400000,99993.77,99947.09
1706288400000,99993.77,99864.58
1706288400000,99993.77,99877.55
1706288400000,99993.77,99867.78
1706288400000,99993.77,99878.64
1706288400000,99993.77,99852.57
1706288400000,99993.77,99861.21
1706288400000,99993.77,99869.9
1706288400000,99993.77,99849.26
1706288400000,99993.77,99876.43
1706288400000,99993.77,99869.87
1706288400000,99993.77,99863.36
1706288400000,99993.77,99870.97
1706288400000,99993.77,99826.4
1706288400000,99993.77,99843.81
1706288400000,99993.77,99851.42
1706288400000,99993.77,99862.28
1706288400000,99993.77,99826.41
1706288400000,99993.77,99842.75
1706288400000,99993.77,99842.74
1706288400000,99993.77,99824.26
1706288400000,99993.77,99866.65
1706288400000,99993.77,99852.48
1706288400000,99993.77,99850.33
1706288400000,99993.77,99829.68
1706288400000,99993.77,99860.11
1706288400000,99993.77,99856.82
1706288400000,99993.77,99856.84
1706288400000,99993.77,99862.27
1706288400000,99993.77,99838.35
1706288400000,99993.77,99849.26
1706288400000,99993.77,99848.17
1706288400000,99993.77,99838.39
1706288400000,99993.77,99864.46
1706288400000,99993.77,99859.05
1706288400000,99993.77,99863.38
1706288400000,99993.77,99867.74
1706288400000,99993.77,99844.92
1706288400000,99993.77,99862.28
1706288400000,99993.77,99872.07
1706288400000,99993.77,99867.73
1706288400000,99993.77,99885.11
1706288400000,99993.77,99872.09
1706288400000,99993.77,99870.99
1706288400000,99993.77,99885.12
1706288400000,99993.77,99860.14
1706288400000,99993.77,99860.11
1706288400000,99993.77,99837.29
1706288400000,99993.77,99842.7
1706288400000,99993.77,99839.45
1706288400000,99993.77,99842.71
1706288400000,99993.77,99815.54
