timestamp_ms,balance,equity
1704153600000,100000.0,100000.0
1705906800000,99994.01,99992.85
1705906800000,99994.01,99995.17
1705906800000,99994.01,99997.48
1705906800000,99994.01,99999.79
1705906800000,99994.01,100002.11
1705906800000,99994.01,100003.26
1705906800000,99994.01,100002.11
1705906800000,99994.01,100003.26
1705906800000,99994.01,99998.64
1705906800000,99994.01,99999.79
1705906800000,99994.01,100000.95
1705906800000,99994.01,100002.11
1705906800000,99994.01,100004.42
1705906800000,99994.01,100003.26
1705906800000,99994.01,100000.95
1705906800000,99994.01,99999.79
1705906800000,99994.01,99997.48
1705906800000,99994.01,99996.32
1705906800000,99994.01,99997.48
1705906800000,99994.01,99996.32
1705906800000,99994.01,99998.64
1705906800000,99994.01,99997.48
1705906800000,99994.01,99995.17
1705906800000,99994.01,99994.01
1705906800000,99994.01,99991.7
1705906800000,99994.01,99990.54
1705906800000,99994.01,99991.7
1705906800000,99994.01,99990.54
1705906800000,99994.01,99992.85
1705906800000,99994.01,99991.7
1705906800000,99994.01,99989.38
1705906800000,99994.01,99988.23
1705906800000,99994.01,99985.91
1705906800000,99994.01,99984.76
1705906800000,99994.01,99985.91
1705906800000,99994.01,99984.76
1705906800000,99994.01,99987.07
1705906800000,99994.01,99988.23
1705906800000,99994.01,99987.07
1705906800000,99994.01,99988.23
1705906800000,99994.01,99985.91
1705906800000,99994.01,99987.07
1705906800000,99994.01,99984.76
1705906800000,99994.01,99985.91
1705906800000,99994.01,99978.98
1705906800000,99994.01,99977.82
1705906800000,99994.01,99978.98
1705906800000,99994.01,99980.13
1705906800000,99994.01,99981.29
1705906800000,99994.01,99980.13
1705906800000,99994.01,99981.29
1705906800000,99994.01,99980.13
1705906800000,99994.01,99981.29
1705906800000,99994.01,99980.13
1705906800000,99994.01,99982.44
1705906800000,99994.01,99981.29
1705906800000,99994.01,99978.98
1705906800000,99994.01,99976.66
1705906800000,99994.01,99977.82
1705906800000,99994.01,99976.66
1705906800000,99994.01,99977.82
1705906800000,99994.01,99976.66
1705906800000,99994.01,99974.35
1705906800000,99994.01,99972.04
1705906800000,99994.01,99973.19
1705906800000,99994.01,99972.04
1705906800000,99994.01,99973.19
1705906800000,99994.01,99972.04
1705906800000,99994.01,99969.72
1705906800000,99994.01,99967.41
1705906800000,99994.01,99968.57
1705906800000,99994.01,99967.41
1705906800000,99994.01,99969.72
1705906800000,99994.01,99968.57
1705906800000,99994.01,99969.72
1705906800000,99994.01,99968.57
1705906800000,99994.01,99969.72
1705906800000,99994.01,99968.57
1705906800000,99994.01,99969.72
1705906800000,99994.01,99968.57
1705906800000,99994.01,99969.72
1705906800000,99994.01,99968.57
1705906800000,99994.01,99969.72
1705906800000,99994.01,99968.57
1705906800000,99994.01,99969.72
1705906800000,99994.01,99968.57
1705906800000,99994.01,99969.72
1705906800000,99994.01,99968.57
1705906800000,99994.01,99969.72
1705906800000,99994.01,99968.57
1705906800000,99994.01,99967.41
1705906800000,99994.01,99965.1
1705906800000,99994.01,99966.26
1705906800000,99994.01,99965.1
1705906800000,99994.01,99966.26
1705906800000,99994.01,99965.1
1705906800000,99994.01,99963.94
1705906800000,99994.01,99961.63
1705906800000,99994.01,99962.79
1705906800000,99994.01,99961.63
1705906800000,99994.01,99962.79
1705906800000,99994.01,99961.63
1705906800000,99994.01,99960.47
1705906800000,99994.01,99958.16
1705906800000,99994.01,99959.32
1705906800000,99994.01,99958.16
1705906800000,99994.01,99959.32
1705906800000,99994.01,99958.16
1705906800000,99994.01,99955.85
1705906800000,99994.01,99953.54
1705906800000,99994.01,99954.69
1705906800000,99994.01,99953.54
1705906800000,99994.01,99955.85
1705906800000,99994.01,99954.69
1705906800000,99994.01,99955.85
1705906800000,99994.01,99954.69
1705906800000,99994.01,99953.54
1705906800000,99994.01,99954.69
1705906800000,99994.01,99953.54
1705906800000,99994.01,99954.69
1705906800000,99994.01,99953.54
1705906800000,99994.01,99954.69
1705906800000,99994.01,99953.54
1705906800000,99994.01,99954.69
1705906800000,99994.01,99953.54
1705906800000,99994.01,99955.85
1705906800000,99994.01,99957.01
1705906800000,99994.01,99958.16
1705906800000,99994.01,99957.01
1705906800000,99994.01,99958.16
1705906800000,99994.01,99957.01
1705906800000,99994.01,99958.16
1705906800000,99994.01,99957.01
1705906800000,99994.01,99958.16
1705906800000,99994.01,99957.01
1705906800000,99994.01,99958.16
1705906800000,99994.01,99955.85
1705906800000,99994.01,99957.01
1705906800000,99994.01,99955.85
1705906800000,99994.01,99957.01
1705906800000,99994.01,99955.85
1705906800000,99994.01,99957.01
1705906800000,99994.01,99954.69
1705906800000,99994.01,99955.85
1705906800000,99994.01,99954.69
1705906800000,99994.01,99955.85
1705906800000,99994.01,99954.69
1705906800000,99994.01,99955.85
1705906800000,99994.01,99953.54
1705906800000,99994.01,99954.69
1705906800000,99994.01,99953.54
1705906800000,99994.01,99954.69
1705906800000,99994.01,99953.54
1705906800000,99994.01,99952.38
1705906800000,99994.01,99951.23
1705906800000,99994.01,99948.91
1705906800000,99994.01,99951.23
1705906800000,99994.01,99952.38
1705906800000,99994.01,99950.07
1705906800000,99994.01,99948.91
1705906800000,99994.01,99951.23
1705906800000,99994.01,99950.07
1705906800000,99994.01,99948.91
1705906800000,99994.01,99950.07
1705906800000,99994.01,99951.23
1705906800000,99994.01,99952.38
1705906800000,99994.01,99950.07
1705906800000,99994.01,99951.23
1705906800000,99994.01,99952.38
1705906800000,99994.01,99953.54
1705906800000,99994.01,99951.23
1705906800000,99994.01,99952.38
1705906800000,99994.01,99953.54
1705906800000,99994.01,99952.38
1705906800000,99994.01,99953.54
1705906800000,99994.01,99952.38
1705906800000,99994.01,99953.54
1705906800000,99994.01,99952.38
1705906800000,99994.01,99953.54
