deal_ticket,position_id,timestamp_ms,deal_type,deal_entry,price,volume,profit,commission,swap,fee
2,2,1706098803000,DEAL_TYPE_BUY,DEAL_ENTRY_IN,1.27572,1.53,0.0,-5.36,0.0,0.0
3,2,1706130603000,DEAL_TYPE_SELL,DEAL_ENTRY_OUT,1.27253,1.53,-488.07,-5.36,0.0,0.0
4,4,1706279490000,DEAL_TYPE_BUY,DEAL_ENTRY_IN,1.27351,1.5899999999999999,0.0,-5.57,0.0,0.0
5,4,1706301798000,DEAL_TYPE_SELL,DEAL_ENTRY_OUT,1.27046,1.5899999999999999,-484.95,-5.57,0.0,0.0
6,6,1706597318000,DEAL_TYPE_BUY,DEAL_ENTRY_IN,1.27047,1.92,0.0,-6.72,0.0,0.0
7,6,1706613150000,DEAL_TYPE_SELL,DEAL_ENTRY_OUT,1.26796,1.92,-481.92,-6.72,0.0,0.0
8,8,1706722659813,DEAL_TYPE_BUY,DEAL_ENTRY_IN,1.27309,1.45,0.0,-5.08,0.0,0.0
9,8,1706734838181,DEAL_TYPE_SELL,DEAL_ENTRY_OUT,1.26976,1.45,-482.85,-5.08,0.0,0.0
